id,car,current_act,married,mortgage,save_act,sex,region,pep
0,BAD,INCIERTO,NEGATIVO,FALSO,INCORRECTO,FEMALE,INNER_CITY,YES
1,GOOD,CIERTO,AFIRMATIVO,VERDADERO,INCORRECTO,MALE,TOWN,NO
2,GOOD,CIERTO,AFIRMATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,NO
3,BAD,CIERTO,AFIRMATIVO,FALSO,INCORRECTO,FEMALE,TOWN,NO
4,BAD,INCIERTO,AFIRMATIVO,FALSO,CORRECTO,FEMALE,RURAL,NO
5,BAD,CIERTO,AFIRMATIVO,FALSO,CORRECTO,FEMALE,TOWN,YES
6,BAD,CIERTO,NEGATIVO,FALSO,INCORRECTO,MALE,RURAL,YES
7,GOOD,CIERTO,AFIRMATIVO,FALSO,CORRECTO,MALE,TOWN,NO
8,GOOD,INCIERTO,AFIRMATIVO,FALSO,INCORRECTO,FEMALE,SUBURBAN,NO
9,GOOD,CIERTO,AFIRMATIVO,FALSO,CORRECTO,MALE,TOWN,NO
10,BAD,CIERTO,AFIRMATIVO,FALSO,CORRECTO,FEMALE,TOWN,NO
11,GOOD,CIERTO,NEGATIVO,VERDADERO,CORRECTO,FEMALE,INNER_CITY,NO
12,BAD,CIERTO,AFIRMATIVO,VERDADERO,CORRECTO,FEMALE,TOWN,YES
13,GOOD,CIERTO,AFIRMATIVO,VERDADERO,CORRECTO,FEMALE,TOWN,YES
14,BAD,CIERTO,AFIRMATIVO,VERDADERO,CORRECTO,MALE,RURAL,NO
15,GOOD,CIERTO,AFIRMATIVO,VERDADERO,CORRECTO,FEMALE,INNER_CITY,NO
16,BAD,INCIERTO,AFIRMATIVO,VERDADERO,INCORRECTO,FEMALE,TOWN,NO
17,BAD,INCIERTO,AFIRMATIVO,VERDADERO,CORRECTO,FEMALE,SUBURBAN,NO
18,BAD,INCIERTO,AFIRMATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,YES
19,GOOD,CIERTO,AFIRMATIVO,FALSO,CORRECTO,MALE,TOWN,NO
20,BAD,INCIERTO,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,YES
21,GOOD,CIERTO,AFIRMATIVO,FALSO,CORRECTO,MALE,TOWN,NO
22,BAD,CIERTO,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,NO
23,GOOD,CIERTO,NEGATIVO,FALSO,CORRECTO,FEMALE,TOWN,NO
24,GOOD,CIERTO,NEGATIVO,FALSO,CORRECTO,MALE,INNER_CITY,NO
25,GOOD,CIERTO,AFIRMATIVO,VERDADERO,CORRECTO,MALE,INNER_CITY,NO
26,BAD,CIERTO,AFIRMATIVO,VERDADERO,CORRECTO,MALE,INNER_CITY,NO
27,BAD,CIERTO,AFIRMATIVO,FALSO,INCORRECTO,FEMALE,TOWN,YES
28,GOOD,CIERTO,NEGATIVO,VERDADERO,INCORRECTO,FEMALE,INNER_CITY,NO
29,BAD,CIERTO,AFIRMATIVO,FALSO,INCORRECTO,MALE,RURAL,YES
30,BAD,CIERTO,AFIRMATIVO,FALSO,CORRECTO,FEMALE,RURAL,NO
31,BAD,INCIERTO,AFIRMATIVO,FALSO,CORRECTO,FEMALE,TOWN,NO
32,GOOD,CIERTO,AFIRMATIVO,FALSO,CORRECTO,MALE,SUBURBAN,YES
33,GOOD,INCIERTO,NEGATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,NO
34,BAD,CIERTO,NEGATIVO,FALSO,CORRECTO,MALE,SUBURBAN,YES
35,BAD,CIERTO,AFIRMATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,NO
36,GOOD,CIERTO,AFIRMATIVO,FALSO,CORRECTO,MALE,RURAL,NO
37,GOOD,CIERTO,NEGATIVO,FALSO,INCORRECTO,FEMALE,RURAL,YES
38,GOOD,CIERTO,AFIRMATIVO,FALSO,CORRECTO,FEMALE,TOWN,NO
39,BAD,CIERTO,NEGATIVO,FALSO,INCORRECTO,FEMALE,SUBURBAN,NO
40,BAD,CIERTO,AFIRMATIVO,VERDADERO,INCORRECTO,MALE,TOWN,YES
41,GOOD,CIERTO,AFIRMATIVO,FALSO,INCORRECTO,FEMALE,INNER_CITY,NO
42,GOOD,INCIERTO,NEGATIVO,FALSO,CORRECTO,MALE,TOWN,YES
43,GOOD,CIERTO,AFIRMATIVO,VERDADERO,INCORRECTO,FEMALE,TOWN,NO
44,GOOD,CIERTO,NEGATIVO,VERDADERO,CORRECTO,MALE,INNER_CITY,NO
45,BAD,CIERTO,AFIRMATIVO,VERDADERO,CORRECTO,MALE,INNER_CITY,YES
46,GOOD,CIERTO,NEGATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,YES
47,BAD,CIERTO,NEGATIVO,VERDADERO,CORRECTO,MALE,INNER_CITY,YES
48,GOOD,CIERTO,NEGATIVO,FALSO,INCORRECTO,MALE,INNER_CITY,YES
49,GOOD,INCIERTO,AFIRMATIVO,VERDADERO,CORRECTO,FEMALE,RURAL,NO
50,GOOD,INCIERTO,NEGATIVO,FALSO,CORRECTO,MALE,TOWN,NO
51,BAD,INCIERTO,AFIRMATIVO,FALSO,INCORRECTO,MALE,TOWN,NO
52,BAD,CIERTO,AFIRMATIVO,FALSO,CORRECTO,MALE,TOWN,YES
53,BAD,CIERTO,NEGATIVO,FALSO,CORRECTO,MALE,SUBURBAN,YES
54,BAD,CIERTO,AFIRMATIVO,VERDADERO,CORRECTO,MALE,TOWN,NO
55,BAD,INCIERTO,NEGATIVO,FALSO,CORRECTO,FEMALE,RURAL,YES
56,BAD,CIERTO,NEGATIVO,FALSO,INCORRECTO,FEMALE,INNER_CITY,YES
57,BAD,CIERTO,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,YES
58,BAD,CIERTO,AFIRMATIVO,FALSO,INCORRECTO,FEMALE,INNER_CITY,NO
59,GOOD,CIERTO,NEGATIVO,VERDADERO,CORRECTO,MALE,INNER_CITY,YES
60,BAD,CIERTO,AFIRMATIVO,VERDADERO,CORRECTO,FEMALE,INNER_CITY,YES
61,GOOD,CIERTO,NEGATIVO,FALSO,INCORRECTO,FEMALE,INNER_CITY,YES
62,BAD,CIERTO,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,NO
63,BAD,INCIERTO,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,NO
64,GOOD,CIERTO,NEGATIVO,VERDADERO,CORRECTO,MALE,TOWN,NO
65,BAD,CIERTO,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,NO
66,BAD,CIERTO,NEGATIVO,FALSO,CORRECTO,MALE,TOWN,NO
67,BAD,CIERTO,NEGATIVO,VERDADERO,CORRECTO,FEMALE,TOWN,NO
68,BAD,CIERTO,NEGATIVO,FALSO,CORRECTO,MALE,TOWN,NO
69,BAD,CIERTO,AFIRMATIVO,FALSO,INCORRECTO,FEMALE,RURAL,YES
70,GOOD,CIERTO,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,NO
71,BAD,CIERTO,NEGATIVO,FALSO,INCORRECTO,MALE,INNER_CITY,YES
72,GOOD,CIERTO,NEGATIVO,VERDADERO,CORRECTO,MALE,INNER_CITY,YES
73,BAD,INCIERTO,NEGATIVO,VERDADERO,CORRECTO,FEMALE,INNER_CITY,NO
