IdCompra,IdPropietario,IdDocumento,NoDocumento,IdProveedor,RetencionRenta,Concepto,IdTipoCompra,DeducibleServiciosMedicos,DeducibleColegiatura,DeducibleCombustible,DeducibleDonaciones
1,5,3,114365,17,FALSO,"Compra de Papelería y Útiles
Caja de CD's Imation
Caja de CD's Imation",3,FALSO,FALSO,FALSO,FALSO
2,4,3,95513,5,FALSO,"Compra de Materiales de Instalación
1 Goma doble polarizado
1 Placa toma doble polarizado
1 Polo tierra nº  8
2 Grapa redonda mediana",3,FALSO,FALSO,FALSO,FALSO
3,4,3,95514,5,FALSO,"1 Canasta lava trastos
1 Chorro Grival  1/2",3,FALSO,FALSO,FALSO,FALSO
4,4,1,28578,5,FALSO,"35 Ancla Plástica  1/4 *1 1/2
35 Tornillo  Goloso de 11/4*8",5,FALSO,FALSO,FALSO,FALSO
5,4,5,11362,18,FALSO,1 Chorro,5,FALSO,FALSO,FALSO,FALSO
6,4,3,39842,30,FALSO,"Compra de Accesorios de Mobiliario y Equipo
1 Teclado comp kb - 1825
    Garantía  1  meses",1,FALSO,FALSO,FALSO,FALSO
7,4,3,94774,33,FALSO,"1  Calcetines
1 Botas",3,FALSO,FALSO,FALSO,FALSO
8,4,3,923094,66,FALSO,"Compra de Materiales  Varios
1 Válvula Check Vertical  3/4 Flomatic
1 Granada Flamatic  11/4
2 Adap. Macho  Puc1/4",3,FALSO,FALSO,FALSO,FALSO
9,3,3,8005031,12,FALSO,Pago de Energía Eléctrica en Casa a orilla del mar,3,FALSO,FALSO,FALSO,FALSO
10,1,3,448384,9,FALSO,"Compra de Gasolina
361 Power Premium",2,FALSO,FALSO,FALSO,FALSO
11,1,3,30470,7,FALSO,"Compra de Medicinas
60   Lorazepán   2   mg",3,FALSO,FALSO,FALSO,FALSO
13,1,3,451715,9,FALSO,"Compra de Gasolina
361 Power Premium",2,FALSO,FALSO,FALSO,FALSO
14,1,3,451773,9,FALSO,"Compra de Gasolina
361 Power Premium
361 Power Premium",2,FALSO,FALSO,FALSO,FALSO
15,1,1,15108117,13,FALSO,Cobro por servicios Prestados,5,FALSO,FALSO,FALSO,FALSO
16,1,1,17423225,12,FALSO,Pago de Energía Eléctrica e Impuesto de  Alcaldía,5,FALSO,FALSO,FALSO,FALSO
17,1,3,3800943,3,FALSO,Consumo de Línea Fija,3,FALSO,FALSO,FALSO,FALSO
18,1,1,17408841,12,FALSO,Consumo de Energía,5,FALSO,FALSO,FALSO,FALSO
19,1,3,3557,7,FALSO,"Compra de Medicinas
20.000 Famotidina  40 mg",3,FALSO,FALSO,FALSO,FALSO
20,1,3,30611,7,FALSO,"Compra de Medicinas
1 Avandamed 2/500
1 Amaril  2.0mg
2 Cozaar  50",3,FALSO,FALSO,FALSO,FALSO
21,1,3,7184,18,FALSO,"Compra de Materiales
2 qq Hierro  3/8
1  qq Hierro  1/4",1,FALSO,FALSO,FALSO,FALSO
22,1,3,73067,67,FALSO,"Compra de Materiales
42-10015  Alambre de Amarre",1,FALSO,FALSO,FALSO,FALSO
23,1,3,411,22,FALSO,Tratamiento Odontológico,3,FALSO,FALSO,FALSO,FALSO
24,1,3,3818945,3,FALSO,Consumo de Línea Fija,3,FALSO,FALSO,FALSO,FALSO
25,1,1,2958305,7,FALSO,"Compra de Medicamentos
6 Gabbroizal
2 Pentaliye",5,FALSO,FALSO,FALSO,FALSO
26,1,1,308225,24,FALSO,"Gastos de Alimentación
1 Limonada
1 Ceviche de corvina
1 Filete de pescado
1 Sandwich de pollo",5,FALSO,FALSO,FALSO,FALSO
27,1,1,17438631,12,FALSO,Consumo de Energía Eléctrica,5,FALSO,FALSO,FALSO,FALSO
29,1,3,44384,25,FALSO,"Cobro por Servicios de Limpieza 
7 Pant
Negro
Gris 2 
Vde 2
Bg
Café",1,FALSO,FALSO,FALSO,FALSO
30,1,3,7196,18,FALSO,"Copra de Materiales para Construcción
1 Metro de arena
1/2 Metro de Grava",1,FALSO,FALSO,FALSO,FALSO
31,1,3,455844,9,FALSO,"Compra de Gasolina
361 Power Premium",2,FALSO,FALSO,FALSO,FALSO
32,1,3,44388,25,FALSO,"Cobro por Servicios de Limpieza
1 Abrigo Corto Verde",1,FALSO,FALSO,FALSO,FALSO
33,1,3,456680,9,FALSO,"Gastos por Compra de Gasolina
361 Power Premium",2,FALSO,FALSO,FALSO,FALSO
34,1,5,11594,18,FALSO,"Compras de Materiales de Construcción
5 Bolsas de Cemento
2 qq de Hierro  3/8
5 Libras de Clavo 2/1",5,FALSO,FALSO,FALSO,FALSO
35,1,3,1622,68,FALSO,Reparación de Bomba Industrial,1,FALSO,FALSO,FALSO,FALSO
36,1,1,DS000F05181406,13,FALSO,Cobro por Servicio de Agua Potable,5,FALSO,FALSO,FALSO,FALSO
37,1,1,DS000F05181576,13,FALSO,Cobro por Servicio de Agua Potable,5,FALSO,FALSO,FALSO,FALSO
38,1,3,3824701,3,FALSO,Consumo de Línea Fija,3,FALSO,FALSO,FALSO,FALSO
39,1,3,970121,23,FALSO,Pago de Cable,3,FALSO,FALSO,FALSO,FALSO
40,1,3,923678,66,FALSO,"Compra de Materiales de Instalación
1 Check Flomatic de 1/2 usa
2 Adaptadores Machos 1/2",1,FALSO,FALSO,FALSO,FALSO
41,1,1,1080280,60,FALSO,Cobro por comisión  mas Iva por solicitud de chequera,5,FALSO,FALSO,FALSO,FALSO
42,2,3,34122,46,FALSO,"Compra de  Accesorios para el Hogar
Cortinas
Pulpo
Tapiz
Forro 
  PULPO
  TAPIZ",1,FALSO,FALSO,FALSO,FALSO
43,2,3,34123,46,FALSO,"Compra de Telas 
Faldón",1,FALSO,FALSO,FALSO,FALSO
44,2,3,407,22,FALSO,Tratamiento odontológico,3,FALSO,FALSO,FALSO,FALSO
45,2,3,451232,9,FALSO,"Compra de Gasolina
361 power Premium",2,FALSO,FALSO,FALSO,FALSO
46,2,3,6212284,15,FALSO,"Compras Varias
Limpiador Metal liquido
Porta Cubiertos
---",1,FALSO,FALSO,FALSO,FALSO
47,2,3,34133,46,FALSO,"Compra de Telas
Alg Flor
Base
Almohadón
415/lb alg
50 tirra
Blanco Lina",1,FALSO,FALSO,FALSO,FALSO
